ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
16,Idaho,ID,16005,Bannock County,16005001103,Census Tract 11.03; Bannock County; Idaho,2.126835531062,4536,787,1585,214,1524,218,338,146,20,32,200,123,89,59,106,103,810,180,1411,351,436,149,62,96,50,71,488,1117,113,113,0,13,0,18,81,103,96,18,7.5,3.0,1.0,1.6,13.1,7.9,3.2,2.1,2.4,2.3,17.9,4.8,31.1,3.4,9.7,3.9,4.1,6.3,1.2,1.6,10.8,24.6,7.2,7.1,0.0,2.3,0.0,1.2,5.3,6.7,2.1,0.2,0.0967,0.1385,0.1165,0.2154,0.0527,0.6198,0.0242,0.5956,0.8484,0.233,0.4923,0.6286,2.7979,0.6725,0.2374,0.2374,0.2374,0.7538,0.0,0.0,0.7758,0.7956,2.3252,0.4835,5.9803,0.2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,127,105,22,30,264,167,31,33,0,13,0,13,171,138,0,13,8.3,6.8,0.5,0.7,5.8,3.8,0.7,0.7,0.0,0.8,0.0,0.8,3.8,3.1,0.0,0.8
16,Idaho,ID,16005,Bannock County,16005001104,Census Tract 11.04; Bannock County; Idaho,3.158207409746,3287,520,1108,142,1108,142,489,343,88,134,98,55,169,106,151,122,524,122,841,212,545,235,49,45,0,52,653,756,22,26,0,13,0,18,12,21,0,13,15.3,10.4,6.0,8.7,8.8,4.8,8.2,4.9,4.6,3.4,15.9,4.0,25.6,4.7,16.6,6.3,4.4,4.0,0.0,1.7,19.9,22.8,2.0,2.3,0.0,3.3,0.0,1.6,1.1,1.9,0.0,0.4,0.3846,0.8154,0.0264,0.5978,0.178,2.0022,0.3297,0.4835,0.6044,0.7033,0.5253,0.0,2.3165,0.4022,0.6066,0.6066,0.6066,0.5626,0.0,0.0,0.2505,0.0,0.8131,0.0835,5.7384,0.2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932,72,67,0,13,304,187,154,119,67,76,0,13,128,100,0,13,6.5,6.0,0.0,1.1,9.2,5.6,4.7,3.6,2.0,2.4,0.0,1.1,3.9,3.0,0.0,1.1
16,Idaho,ID,16005,Bannock County,16005001200,Census Tract 12; Bannock County; Idaho,1.132446046346,3730,522,1250,145,1173,148,1092,365,74,72,247,92,107,68,296,139,378,188,1348,347,575,217,111,63,7,52,829,734,32,40,129,71,53,49,51,44,0,13,29.5,8.9,4.2,4.2,21.1,7.4,4.9,3.1,7.9,3.6,10.1,4.8,36.1,5.6,15.4,5.6,9.5,5.2,0.2,1.5,22.2,19.4,2.6,3.2,10.3,5.8,4.5,4.1,4.3,3.9,0.0,0.3,0.8088,0.6637,0.4352,0.3473,0.4022,2.6572,0.5297,0.1538,0.9758,0.6242,0.9033,0.3099,2.967,0.7495,0.6747,0.6747,0.6747,0.5912,0.6725,0.7626,0.6857,0.0,2.712,0.6242,9.0109,0.6945,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,3498,36,31,25,41,330,158,172,183,19,30,0,13,262,181,21,33,3.1,2.7,0.7,1.1,8.8,4.2,4.6,4.8,0.5,0.8,0.0,1.0,7.0,4.8,0.6,0.9
16,Idaho,ID,16005,Bannock County,16005001300,Census Tract 13; Bannock County; Idaho,0.492275030674,2591,395,1086,150,990,151,852,412,128,101,395,160,84,44,238,104,231,79,655,235,502,194,140,132,0,52,698,550,0,18,8,13,21,31,42,42,21,3,32.9,15.1,9.6,7.2,39.9,15.0,5.0,2.5,9.2,4.2,8.9,3.2,25.3,6.3,19.4,7.8,14.1,13.2,0.0,2.1,26.9,20.8,0.0,1.7,0.7,1.2,2.1,3.1,4.2,4.3,0.8,0.2,0.8681,0.9473,0.9407,0.3538,0.5055,3.6154,0.8681,0.1055,0.5736,0.8264,0.9824,0.0,2.4879,0.4857,0.7736,0.7736,0.7736,0.0,0.2813,0.5209,0.6791,0.6154,2.0967,0.3978,8.9736,0.6791,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2469,64,46,89,76,216,149,124,115,47,59,0,13,222,137,0,13,6.5,4.7,3.4,2.8,8.3,5.7,4.8,4.3,1.8,2.3,0.0,1.4,8.6,5.6,0.0,1.4
16,Idaho,ID,16005,Bannock County,16005001400,Census Tract 14; Bannock County; Idaho,1.748417346964,4132,494,1867,154,1702,161,1342,333,108,93,434,140,214,96,166,97,562,104,1053,250,1087,202,105,62,38,64,1013,613,54,50,274,98,64,58,89,69,0,13,32.5,7.1,5.0,4.1,25.5,7.9,7.7,3.4,4.0,2.3,13.6,3.2,25.5,4.1,26.4,4.9,6.2,3.6,1.0,1.7,24.5,14.5,2.9,2.7,14.7,5.1,3.7,3.4,5.2,3.9,0.0,0.3,0.8593,0.7319,0.6418,0.5736,0.1363,2.9429,0.6637,0.3473,0.5956,0.9824,0.7011,0.5868,3.2132,0.8813,0.7297,0.7297,0.7297,0.6066,0.8088,0.7165,0.7582,0.0,2.8901,0.6813,9.7759,0.8088,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,8547,226,108,165,136,478,206,77,52,93,75,0,13,200,130,0,13,13.3,6.5,4.0,3.2,11.6,4.5,1.9,1.2,2.3,1.8,0.0,0.9,4.8,2.9,0.0,0.9
16,Idaho,ID,16005,Bannock County,16005001500,Census Tract 15; Bannock County; Idaho,2.952872574616,5937,928,2366,270,2180,302,1523,660,53,60,389,152,351,226,588,301,618,126,1869,540,763,243,173,112,31,77,663,1258,15,33,672,230,54,65,42,37,59,6,25.8,10.4,2.0,2.2,17.8,6.5,9.8,6.2,10.0,4.9,10.4,3.0,31.5,5.4,12.9,4.0,8.0,5.0,0.6,1.4,11.2,21.1,0.6,1.4,28.4,8.1,2.5,3.0,1.9,1.8,1.0,0.2,0.7253,0.3077,0.2725,0.6747,0.5648,2.545,0.4835,0.1758,0.8659,0.4462,0.8462,0.4813,2.8154,0.6791,0.2549,0.2549,0.2549,0.3956,0.9758,0.5802,0.4132,0.6637,3.0285,0.7385,8.6438,0.6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5493,195,137,0,18,561,419,0,18,0,18,24,41,41,56,37,58,8.9,6.5,0.0,0.6,9.4,6.7,0.0,0.6,0.0,0.6,0.4,0.7,0.7,0.9,0.6,1.0
16,Idaho,ID,16005,Bannock County,16005001601,Census Tract 16.01; Bannock County; Idaho,0.700625322424,2711,368,1624,173,1482,183,834,229,79,66,335,124,122,82,346,146,302,104,354,130,664,180,66,63,0,52,451,513,288,144,0,13,19,34,232,131,34,5,31.8,7.5,5.0,4.2,22.6,7.9,5.9,3.9,12.8,5.2,11.1,3.8,13.1,4.2,24.5,5.9,4.5,4.2,0.0,2.0,16.6,18.8,17.7,8.7,0.0,2.3,1.3,2.3,15.7,8.1,1.3,0.1,0.8418,0.7319,0.5033,0.444,0.7275,3.2485,0.7582,0.1978,0.0571,0.9626,0.5516,0.0,1.7691,0.1736,0.4923,0.4923,0.4923,0.9231,0.0,0.378,0.9868,0.7231,3.011,0.7275,8.5209,0.5978,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,4009,368,159,75,81,140,85,0,13,59,57,18,31,159,82,0,13,24.8,8.8,2.8,3.0,5.2,3.1,0.0,1.4,2.2,2.1,0.7,1.1,5.9,2.9,0.0,1.4
16,Idaho,ID,16005,Bannock County,16005001602,Census Tract 16.02; Bannock County; Idaho,1.776795843964,3787,510,1611,148,1487,143,1095,326,136,110,270,100,214,88,430,275,624,174,955,250,513,139,142,85,0,52,518,717,18,20,161,102,30,34,70,49,0,13,29.2,7.8,7.8,6.0,18.2,6.5,8.6,3.4,11.4,7.0,16.5,4.0,25.2,5.5,13.5,4.0,9.6,5.6,0.0,1.5,13.7,18.8,1.1,1.2,10.0,6.3,2.0,2.3,4.7,3.2,0.0,0.3,0.8022,0.9055,0.2879,0.622,0.6527,3.2703,0.767,0.5253,0.567,0.4945,0.9077,0.0,2.4945,0.4901,0.3912,0.3912,0.3912,0.4813,0.6637,0.4945,0.7275,0.0,2.367,0.4989,8.523,0.6,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1730,205,94,77,78,280,175,0,13,149,79,0,13,12,21,0,13,13.8,6.3,2.0,2.1,7.4,4.5,0.0,1.0,3.9,2.1,0.0,1.0,0.3,0.6,0.0,1.0
16,Idaho,ID,16005,Bannock County,16005001603,Census Tract 16.03; Bannock County; Idaho,2.5044641365699998,2825,411,1395,230,1237,242,1049,289,19,28,400,142,130,83,192,98,388,145,501,151,400,150,26,32,0,52,377,590,216,124,9,13,14,28,45,35,386,22,42.8,9.4,1.5,2.3,32.3,9.6,6.9,4.3,7.8,4.1,13.7,4.9,17.7,4.1,16.3,5.5,2.1,2.6,0.0,1.9,13.3,20.8,15.5,8.5,0.6,0.9,1.1,2.3,3.6,2.9,13.7,2.1,0.9626,0.2,0.8374,0.5165,0.3934,2.9099,0.6484,0.3516,0.2176,0.6923,0.2637,0.0,1.5252,0.1077,0.3802,0.3802,0.3802,0.8945,0.2703,0.3495,0.6198,0.967,3.1011,0.7626,7.9164,0.5121,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2400,74,56,9,15,301,181,13,25,11,19,0,13,43,31,0,13,6.0,4.9,0.3,0.5,10.7,6.5,0.5,0.9,0.4,0.7,0.0,1.3,1.5,1.0,0.0,1.3
16,Idaho,ID,16005,Bannock County,16005001700,Census Tract 17; Bannock County; Idaho,5.835422847564,3571,438,1355,122,1355,122,523,373,43,47,174,76,100,74,216,198,773,133,917,299,502,148,24,25,17,52,195,615,34,41,0,13,27,44,65,52,53,11,14.7,10.3,2.7,2.8,12.8,5.5,4.0,2.9,6.1,5.5,21.6,4.1,25.7,5.7,14.1,4.1,1.7,1.8,0.5,1.5,5.5,17.2,2.5,3.0,0.0,2.7,2.0,3.2,4.8,3.7,1.5,0.2,0.3736,0.4198,0.1033,0.2725,0.2769,1.4461,0.1714,0.7495,0.6088,0.5341,0.2066,0.4505,2.5495,0.5297,0.0593,0.0593,0.0593,0.5846,0.0,0.4945,0.7363,0.7451,2.5605,0.5714,6.6154,0.3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,120,68,0,13,65,54,33,37,1,5,0,13,96,76,0,13,8.9,4.7,0.0,1.0,1.8,1.5,0.9,1.0,0.0,0.1,0.0,1.0,2.7,2.2,0.0,1.0
