ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
38,North Dakota,ND,38093,Stutsman County,38093967402,Census Tract 9674.02; Stutsman County; North Dakota,1.761378405002,3914,456,2048,192,1756,221,1197,336,57,61,468,179,280,153,353,183,1010,188,632,215,659,184,122,98,40,59,286,627,272,143,115,88,0,14,49,63,233,13,31.7,8.0,2.5,2.7,26.7,9.6,9.7,5.3,9.3,4.3,25.8,4.9,16.1,4.7,17.4,4.5,7.0,5.5,1.1,1.6,7.3,16.0,13.3,6.9,5.6,4.3,0.0,0.8,2.8,3.7,6.0,0.8,0.8987,0.5198,0.793,0.7753,0.7445,3.7313,0.8767,0.859,0.1057,0.8855,0.7665,0.815,3.4317,0.9515,0.2379,0.2379,0.2379,0.6432,0.533,0.0,0.4053,0.8634,2.4449,0.5286,9.8458,0.8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419,270,182,51,73,189,104,24,39,1,9,0,10,19,23,2,6,15.4,9.5,1.3,1.8,4.8,2.6,0.6,1.0,0.0,0.2,0.0,0.6,0.5,0.6,0.1,0.2
38,North Dakota,ND,38093,Stutsman County,38093967500,Census Tract 9675; Stutsman County; North Dakota,14.658153162716,3598,377,1731,214,1585,212,440,167,139,154,264,98,157,72,194,105,750,159,773,148,439,165,79,54,11,42,313,535,207,160,276,149,0,14,0,10,111,23,12.5,4.5,7.4,7.4,16.7,5.8,6.1,2.8,5.5,3.0,20.8,4.4,21.5,4.1,12.6,4.6,5.0,3.3,0.3,1.3,8.7,14.8,12.0,9.1,15.9,7.9,0.0,0.9,0.0,1.6,3.1,0.6,0.3128,0.9295,0.4405,0.467,0.4405,2.5903,0.5639,0.6564,0.3789,0.6167,0.5991,0.533,2.7841,0.6872,0.3392,0.3392,0.3392,0.6079,0.8678,0.0,0.0,0.6916,2.1673,0.3789,7.8809,0.5507,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4776,126,73,16,24,74,49,66,58,21,30,0,10,125,82,11,16,7.9,4.5,0.4,0.7,2.1,1.4,1.8,1.6,0.6,0.9,0.0,0.7,3.5,2.3,0.3,0.5
38,North Dakota,ND,38093,Stutsman County,38093967800,Census Tract 9678; Stutsman County; North Dakota,2.493658685998,3974,388,2198,189,1995,210,1066,372,130,85,706,216,288,113,461,264,731,138,847,211,1200,276,0,14,13,45,337,544,316,127,106,79,33,44,165,108,54,7,27.1,9.1,6.3,3.9,35.4,10.2,9.7,3.9,11.7,6.5,18.4,3.8,21.3,4.2,30.5,6.4,0.0,0.7,0.3,1.2,8.5,13.7,14.4,5.6,4.8,3.6,1.7,2.2,8.3,5.4,1.4,0.1,0.8458,0.9075,0.9251,0.7753,0.8678,4.3215,0.978,0.5463,0.3656,1.0,0.0,0.533,2.4449,0.5286,0.3216,0.3216,0.3216,0.6608,0.4758,0.63,0.8062,0.4581,3.0309,0.7665,10.1189,0.8678,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,6215,609,191,46,44,94,108,0,10,174,143,0,10,23,35,0,10,30.5,8.8,1.2,1.1,2.4,2.7,0.0,0.6,4.4,3.5,0.0,0.6,0.6,0.9,0.0,0.6
38,North Dakota,ND,38095,Towner County,38095951500,Census Tract 9515; Towner County; North Dakota,1025.112278773808,2152,0,1319,87,964,66,529,129,17,21,188,64,229,83,202,68,485,65,496,75,311,85,10,8,36,48,316,70,25,15,57,29,0,14,32,17,30,21,25.2,6.1,1.6,1.9,19.5,6.5,14.6,5.2,9.5,3.2,22.5,3.0,23.0,3.5,14.7,4.0,1.0,0.8,1.8,2.4,14.7,3.3,1.9,1.1,4.3,2.2,0.0,1.5,3.3,1.8,1.4,1.0,0.7974,0.3216,0.5683,0.9427,0.7489,3.3789,0.8194,0.7489,0.5066,0.7665,0.1013,0.8987,3.022,0.8106,0.6167,0.6167,0.6167,0.2996,0.4361,0.0,0.4493,0.4581,1.6431,0.1938,8.6607,0.674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1792,206,70,8,13,83,32,9,14,143,60,0,10,73,43,0,10,21.4,6.9,0.4,0.6,3.9,1.5,0.4,0.7,6.6,2.8,0.0,1.2,3.4,2.0,0.0,1.2
38,North Dakota,ND,38097,Traill County,38097970100,Census Tract 9701; Traill County; North Dakota,335.420531781692,2242,160,1025,84,926,81,249,82,27,13,153,58,80,31,65,32,502,58,550,72,263,68,63,36,5,39,156,212,15,14,41,18,2,3,38,39,49,4,11.4,3.6,2.5,1.2,16.5,6.1,5.0,2.0,3.0,1.4,22.4,2.5,24.5,2.1,12.1,2.9,6.8,3.8,0.2,1.9,7.0,9.4,1.5,1.4,4.0,1.7,0.2,0.3,4.1,4.1,2.2,0.1,0.2555,0.5198,0.4229,0.3348,0.1366,1.6696,0.207,0.7445,0.6035,0.5639,0.7533,0.4537,3.1189,0.8546,0.2026,0.2026,0.2026,0.2775,0.4229,0.2599,0.5595,0.5551,2.0749,0.3128,7.066,0.3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,215,68,0,10,48,53,17,21,32,24,3,4,56,31,0,10,23.2,5.9,0.0,1.1,2.1,2.3,0.8,0.9,1.4,1.0,0.1,0.2,2.5,1.3,0.0,1.1
38,North Dakota,ND,38097,Traill County,38097970200,Census Tract 9702; Traill County; North Dakota,7.633905268664,2709,182,1160,70,1036,70,454,125,45,56,222,58,147,50,208,71,476,60,563,87,250,72,22,16,13,42,391,244,137,51,39,23,4,11,90,40,347,10,19.2,5.1,3.1,3.9,21.4,5.4,9.2,3.0,8.0,2.7,17.6,2.1,20.8,2.4,9.6,2.8,2.1,1.5,0.5,1.6,14.4,9.0,11.8,4.3,3.4,2.0,0.4,1.1,8.7,3.8,12.8,0.9,0.6079,0.6476,0.6652,0.7489,0.6828,3.3524,0.8062,0.5154,0.3172,0.3172,0.2335,0.652,2.0353,0.3084,0.6079,0.6079,0.6079,0.5947,0.4009,0.3128,0.8238,0.9471,3.0793,0.8106,9.0749,0.7269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2984,221,67,69,39,212,62,0,10,53,39,2,5,55,46,0,10,21.3,6.1,2.5,1.4,7.8,2.1,0.0,0.9,2.0,1.4,0.1,0.2,2.0,1.7,0.0,0.9
38,North Dakota,ND,38097,Traill County,38097970300,Census Tract 9703; Traill County; North Dakota,514.124877604434,1358,183,633,68,573,75,77,48,0,10,45,32,32,37,71,50,241,58,290,71,141,48,3,11,0,40,68,255,6,14,4,6,3,11,0,10,10,3,5.7,3.5,0.0,3.1,7.9,5.5,3.1,3.5,5.3,3.7,17.7,4.4,21.4,3.9,10.5,3.5,0.5,1.9,0.0,3.2,5.0,18.8,0.9,2.2,0.6,1.0,0.5,1.9,0.0,4.3,0.7,0.2,0.0573,0.0,0.0264,0.1542,0.4229,0.6608,0.022,0.5198,0.3744,0.3921,0.0661,0.0,1.3524,0.0573,0.1233,0.1233,0.1233,0.2335,0.2687,0.3392,0.0,0.3656,1.207,0.0485,3.3435,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,138,63,0,10,0,10,0,10,0,10,0,10,68,52,0,10,24.1,9.3,0.0,1.8,0.0,1.8,0.0,1.8,0.0,1.8,0.0,1.8,5.0,3.8,0.0,1.8
38,North Dakota,ND,38097,Traill County,38097970400,Census Tract 9704; Traill County; North Dakota,4.691247794662,1695,146,856,66,750,62,270,105,14,15,120,44,81,34,72,43,349,65,381,57,224,62,30,25,2,38,146,209,150,53,4,6,6,12,62,36,59,11,16.5,6.3,1.5,1.7,16.0,5.7,6.6,2.7,4.4,2.6,20.6,3.8,22.5,2.8,13.7,3.6,4.0,3.3,0.1,2.4,8.6,12.3,17.5,6.0,0.5,0.7,0.8,1.6,8.3,4.8,3.5,0.6,0.511,0.3084,0.3921,0.533,0.3172,2.0617,0.3216,0.6388,0.4758,0.6784,0.4802,0.3965,2.6697,0.63,0.3348,0.3348,0.3348,0.6916,0.2599,0.4317,0.8062,0.7401,2.9295,0.7137,7.9957,0.5771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,152,48,0,10,50,46,9,13,6,14,0,10,81,54,0,10,20.3,6.1,0.0,1.5,2.9,2.7,0.5,0.8,0.4,0.8,0.0,1.5,4.8,3.2,0.0,1.5
38,North Dakota,ND,38099,Walsh County,38099957800,Census Tract 9578; Walsh County; North Dakota,307.687310451906,1524,155,769,60,653,61,346,132,25,29,103,32,95,30,146,75,289,50,374,92,136,32,21,13,6,38,143,222,0,14,110,32,0,14,17,12,14,3,22.8,8.4,3.1,3.5,15.8,4.7,8.8,2.8,9.6,4.8,19.0,3.4,24.5,4.4,8.9,2.3,3.2,2.0,0.4,2.7,9.4,14.5,0.0,1.8,14.3,4.0,0.0,2.1,2.6,1.9,0.9,0.2,0.7401,0.6476,0.3744,0.7048,0.7621,3.229,0.7797,0.5903,0.6035,0.2511,0.3921,0.6035,2.4405,0.5242,0.3789,0.3789,0.3789,0.0,0.8282,0.0,0.3833,0.4053,1.6168,0.1806,7.6652,0.4978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,147,42,0,10,80,56,1,7,26,27,0,10,36,30,0,10,22.5,5.7,0.0,1.6,5.2,3.7,0.1,0.4,1.7,1.8,0.0,1.6,2.4,1.9,0.0,1.6
38,North Dakota,ND,38099,Walsh County,38099957900,Census Tract 9579; Walsh County; North Dakota,5.857511356882,1490,167,645,75,569,70,137,71,0,10,78,37,185,65,146,95,301,48,397,111,119,38,41,39,2,38,405,248,63,34,107,45,11,18,43,24,159,20,10.2,5.2,0.0,3.9,13.7,6.3,18.5,6.3,11.1,7.5,20.2,3.8,26.6,5.8,9.1,2.8,7.2,6.8,0.1,2.7,27.2,16.4,9.7,5.1,16.6,6.5,1.9,3.2,7.6,4.3,10.7,0.6,0.2115,0.0,0.2775,0.9912,0.8326,2.3128,0.4229,0.63,0.7401,0.2731,0.7841,0.3965,2.8238,0.7225,0.8722,0.8722,0.8722,0.5507,0.8767,0.674,0.7797,0.9339,3.815,0.9824,9.8238,0.8106,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1009,154,56,15,17,306,147,54,49,3,24,0,10,27,25,0,10,27.1,9.2,1.0,1.2,20.5,9.5,3.6,3.3,0.2,1.6,0.0,1.7,1.8,1.7,0.0,1.7
