ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
33,New Hampshire,NH,33011,Hillsborough County,33011014201,Census Tract 142.01; Hillsborough County; New Hampshire,9.67034544118,5744,347,2113,168,2113,168,309,230,178,115,460,166,136,101,121,110,889,138,1220,184,425,191,69,63,0,68,800,527,0,24,39,60,25,29,35,40,0,17,5.4,4.0,5.1,3.4,21.8,7.7,3.3,2.5,2.1,1.9,15.5,2.5,21.2,2.6,7.4,3.3,3.2,3.0,0.0,1.2,13.9,9.1,0.0,1.1,1.8,2.9,1.2,1.4,1.7,1.9,0.0,0.3,0.1879,0.7717,0.4104,0.3006,0.1156,1.7862,0.289,0.2775,0.7399,0.0838,0.4624,0.0,1.5636,0.1156,0.7399,0.7399,0.7399,0.0,0.4306,0.5838,0.2717,0.0,1.2861,0.1387,5.3758,0.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406,71,60,62,91,264,220,255,158,0,17,0,17,204,142,15,23,3.4,2.9,1.1,1.6,4.6,3.8,4.4,2.8,0.0,0.6,0.0,0.6,3.6,2.5,0.3,0.4
33,New Hampshire,NH,33011,Hillsborough County,33011014202,Census Tract 142.02; Hillsborough County; New Hampshire,5.099696220116,6932,765,2357,178,2357,178,585,235,179,131,286,114,199,124,147,126,1070,165,1590,437,666,258,96,64,0,68,593,1148,15,30,9,15,0,24,54,74,0,17,8.4,3.3,4.4,3.2,12.1,4.7,4.2,2.5,2.1,1.8,15.4,2.4,22.9,4.8,9.6,3.2,4.1,2.7,0.0,1.1,8.6,16.5,0.6,1.3,0.4,0.6,0.0,1.0,2.3,3.1,0.0,0.2,0.3555,0.7023,0.0694,0.3873,0.1156,1.6301,0.2399,0.2746,0.8468,0.2225,0.5665,0.0,1.9104,0.2457,0.5318,0.5318,0.5318,0.2225,0.3006,0.0,0.3757,0.0,0.8988,0.0751,4.9711,0.1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405,83,76,0,17,259,200,197,208,0,17,0,17,137,133,0,17,3.5,3.3,0.0,0.5,3.7,2.9,2.8,3.1,0.0,0.5,0.0,0.5,2.0,2.0,0.0,0.5
33,New Hampshire,NH,33011,Hillsborough County,33011014301,Census Tract 143.01; Hillsborough County; New Hampshire,4.911737133292,1855,246,676,55,676,55,13,21,16,26,71,58,5,10,48,69,335,122,345,62,221,118,0,16,22,55,413,371,0,16,121,77,0,16,21,34,3,1,0.7,1.1,1.4,2.1,10.5,8.5,0.4,0.7,2.6,3.6,18.1,5.8,18.6,3.2,11.9,6.3,0.0,2.4,1.2,3.0,22.3,19.8,0.0,2.4,17.9,11.3,0.0,2.4,3.1,5.0,0.2,0.0,0.0058,0.1647,0.0405,0.0202,0.1821,0.4133,0.0029,0.4393,0.5116,0.422,0.0,0.8382,2.2111,0.3786,0.8757,0.8757,0.8757,0.0,0.948,0.0,0.4913,0.422,1.8613,0.3035,5.3614,0.1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,10031,31,48,156,161,35,59,186,121,0,12,0,12,36,40,0,12,4.6,7.0,8.4,8.3,1.9,3.2,10.0,7.0,0.0,1.7,0.0,1.7,1.9,2.2,0.0,1.7
33,New Hampshire,NH,33011,Hillsborough County,33011014302,Census Tract 143.02; Hillsborough County; New Hampshire,6.943956438744,6710,764,2184,213,2184,213,304,193,144,105,261,122,167,113,205,158,996,166,1777,357,486,147,30,39,37,82,1046,1122,0,24,19,29,0,24,0,17,31,9,4.5,2.8,3.7,2.7,12.0,5.5,3.6,2.4,3.1,2.4,14.8,2.9,26.5,3.3,7.2,2.3,1.4,1.8,0.6,1.3,15.6,16.6,0.0,1.1,0.9,1.3,0.0,1.1,0.0,1.5,0.5,0.1,0.1387,0.6185,0.0607,0.3179,0.2341,1.3699,0.1879,0.2312,0.9769,0.0694,0.1763,0.737,2.1908,0.3642,0.7861,0.7861,0.7861,0.0,0.3584,0.0,0.0,0.5491,0.9075,0.078,5.2543,0.159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4314,10,16,27,20,649,517,11,19,0,17,0,17,266,173,93,148,0.5,0.8,0.4,0.3,9.7,7.4,0.2,0.3,0.0,0.5,0.0,0.5,4.0,2.6,1.4,2.2
33,New Hampshire,NH,33011,Hillsborough County,33011015100,Census Tract 151; Hillsborough County; New Hampshire,18.496778474512,5639,485,2064,176,2064,176,402,169,84,58,234,87,30,33,75,73,1100,197,1392,230,530,147,83,49,89,86,332,699,4,18,0,17,0,24,48,50,0,17,7.2,3.0,2.7,1.8,11.3,4.1,0.8,0.8,1.3,1.3,19.5,3.4,24.7,2.7,9.4,2.7,4.0,2.3,1.7,1.6,5.9,12.4,0.2,0.9,0.0,1.6,0.0,1.2,2.3,2.4,0.0,0.3,0.2688,0.4191,0.052,0.0376,0.0434,0.8209,0.0376,0.5116,0.9249,0.2081,0.5578,0.8728,3.0752,0.8699,0.3208,0.3208,0.3208,0.1936,0.0,0.0,0.3757,0.0,0.5693,0.0318,4.7862,0.1069,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2859,47,42,0,17,217,132,41,36,0,17,6,10,68,47,0,17,2.3,2.0,0.0,0.6,3.8,2.4,0.7,0.6,0.0,0.6,0.1,0.2,1.2,0.8,0.0,0.6
33,New Hampshire,NH,33011,Hillsborough County,33011015200,Census Tract 152; Hillsborough County; New Hampshire,15.408752825306,6127,482,2491,226,2417,235,461,368,74,65,319,130,18,29,230,292,1088,219,1260,252,417,153,11,25,0,68,383,695,69,52,10,17,0,24,41,41,0,17,7.5,6.0,2.5,2.2,13.2,5.2,0.4,0.6,3.8,4.7,17.8,3.6,20.6,3.3,6.8,2.4,0.5,1.0,0.0,1.2,6.3,11.3,2.8,2.1,0.4,0.7,0.0,1.0,1.7,1.7,0.0,0.3,0.2977,0.3873,0.104,0.0202,0.3006,1.1098,0.1098,0.4046,0.7023,0.0636,0.0809,0.0,1.2514,0.0405,0.3584,0.3584,0.3584,0.4422,0.3006,0.0,0.2717,0.0,1.0145,0.104,3.7341,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7265,75,52,0,17,188,178,137,105,0,17,0,17,58,53,0,17,3.1,2.1,0.0,0.5,3.1,2.9,2.2,1.7,0.0,0.5,0.0,0.5,0.9,0.9,0.0,0.5
33,New Hampshire,NH,33011,Hillsborough County,33011016100,Census Tract 161; Hillsborough County; New Hampshire,4.399500243116,3141,497,1219,173,1210,173,353,201,61,53,467,198,95,102,270,139,565,153,796,290,373,208,92,115,0,48,135,704,44,34,34,35,47,41,24,25,0,12,11.2,6.2,3.6,3.2,38.6,15.4,4.6,5.0,8.6,4.5,18.0,4.9,25.3,6.6,11.9,6.5,7.6,9.4,0.0,1.6,4.3,22.4,3.6,2.7,2.8,2.9,3.9,3.3,2.0,2.2,0.0,0.4,0.5,0.6012,0.8988,0.4364,0.7948,3.2312,0.7543,0.4249,0.948,0.422,0.8555,0.0,2.6504,0.6532,0.1994,0.1994,0.1994,0.4711,0.5058,0.9191,0.3324,0.0,2.2284,0.4364,8.3094,0.5983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,1213,92,114,0,12,79,60,0,12,0,12,0,12,56,89,0,12,7.6,8.8,0.0,1.0,2.5,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.8,2.8,0.0,1.0
33,New Hampshire,NH,33011,Hillsborough County,33011016202,Census Tract 162.02; Hillsborough County; New Hampshire,17.570448733744,5208,451,1847,161,1785,142,125,85,79,59,224,104,70,41,220,207,589,165,1233,210,450,149,60,55,20,73,397,650,0,24,158,65,10,22,15,17,5,9,2.4,1.6,2.6,1.8,12.5,5.7,1.9,1.1,4.2,4.0,11.3,3.1,23.7,2.8,8.6,2.7,3.4,3.1,0.4,1.5,7.6,12.5,0.0,1.3,8.6,3.4,0.6,1.2,0.8,1.0,0.1,0.2,0.0347,0.3988,0.0751,0.1301,0.3353,0.974,0.0838,0.0607,0.8786,0.159,0.4942,0.6445,2.237,0.4017,0.4682,0.4682,0.4682,0.0,0.7919,0.4306,0.1474,0.3439,1.7138,0.2486,5.393,0.1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6365,33,25,6,9,93,107,37,35,7,12,0,17,206,245,48,77,1.8,1.4,0.1,0.2,1.8,2.1,0.7,0.7,0.1,0.2,0.0,0.6,4.0,4.6,0.9,1.4
33,New Hampshire,NH,33011,Hillsborough County,33011016203,Census Tract 162.03; Hillsborough County; New Hampshire,1.364343154668,3908,758,1949,271,1847,286,519,166,68,65,678,196,183,125,470,167,510,151,865,404,568,169,155,90,77,92,1092,858,901,227,127,115,20,36,157,111,41,7,13.3,3.4,3.3,3.1,36.7,9.0,6.5,4.7,12.3,5.4,13.1,4.8,22.1,6.9,14.8,5.5,8.4,4.7,2.1,2.5,27.9,21.3,46.2,9.7,6.5,5.7,1.1,1.9,8.5,6.4,1.0,0.3,0.5983,0.5405,0.8699,0.6214,0.9451,3.5752,0.8237,0.1445,0.7861,0.6676,0.8931,0.8873,3.3786,0.9422,0.9249,0.9249,0.9249,0.974,0.7023,0.5578,0.8439,0.6243,3.7023,0.9538,11.581,0.9682,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,2674,172,111,26,44,192,162,209,203,0,12,0,12,665,800,0,12,9.3,6.3,0.7,1.1,4.9,4.4,5.3,5.1,0.0,0.8,0.0,0.8,17.0,18.2,0.0,0.8
33,New Hampshire,NH,33011,Hillsborough County,33011016204,Census Tract 162.04; Hillsborough County; New Hampshire,2.077035322898,3894,498,1629,207,1557,198,468,268,137,133,494,214,156,66,331,179,686,188,757,292,379,147,92,66,40,57,335,724,55,33,11,21,36,39,54,45,139,7,12.5,7.0,5.7,5.1,31.7,13.1,5.6,2.4,8.8,4.7,17.6,4.6,19.4,6.3,10.1,3.7,5.9,4.2,1.1,1.6,8.6,18.6,3.4,2.0,0.7,1.3,2.3,2.5,3.5,2.9,3.6,0.5,0.5549,0.8295,0.7746,0.5607,0.8121,3.5318,0.815,0.3931,0.6098,0.2572,0.7514,0.8295,2.841,0.7514,0.5318,0.5318,0.5318,0.4653,0.3468,0.7717,0.5607,0.8179,2.9624,0.7457,9.867,0.8382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4743,43,42,0,12,141,108,0,12,0,12,0,12,194,127,0,12,2.8,2.8,0.0,0.8,3.6,2.8,0.0,0.8,0.0,0.8,0.0,0.8,5.0,3.4,0.0,0.8
