ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
10,Delaware,DE,10005,Sussex County,10005050904,Census Tract 509.04; Sussex County; Delaware,2.05463020994,2296,457,1624,306,1213,307,432,293,29,32,448,281,363,292,80,80,1023,256,201,147,668,295,8,17,33,55,192,640,255,256,92,80,0,18,124,95,43,7,19.1,12.4,3.4,3.9,36.9,21.2,17.8,11.6,3.5,3.4,44.6,11.1,8.8,6.0,29.6,9.8,0.7,1.4,1.5,2.5,8.4,27.8,15.7,15.5,5.7,4.8,0.0,1.5,10.2,8.0,1.9,0.5,0.6118,0.3451,0.8392,0.8945,0.3569,3.0475,0.6392,0.9258,0.0938,0.9961,0.0863,0.5547,2.6567,0.6196,0.082,0.082,0.082,0.7765,0.6902,0.0,0.8588,0.8398,3.1653,0.8667,8.9515,0.6902,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,6209,321,273,38,36,71,106,14,15,0,13,0,13,69,77,0,13,26.5,17.3,1.7,1.6,3.1,4.5,0.6,0.7,0.0,1.6,0.0,1.6,3.0,3.4,0.0,1.6
10,Delaware,DE,10005,Sussex County,10005050905,Census Tract 509.05; Sussex County; Delaware,22.778006794682,3783,615,3244,328,1719,259,339,161,290,330,395,174,171,112,81,53,1334,370,353,122,446,168,36,57,38,76,78,858,273,127,98,57,18,26,90,72,0,13,9.0,4.0,16.1,15.7,23.0,9.5,5.7,3.7,2.1,1.4,35.3,8.6,9.3,3.2,11.8,4.5,2.1,3.3,1.0,2.0,2.1,22.7,8.4,3.8,3.0,1.8,1.0,1.5,5.2,4.0,0.0,0.3,0.2627,0.9725,0.4745,0.418,0.1647,2.2924,0.4314,0.8633,0.1094,0.3216,0.2235,0.4414,1.9592,0.2235,0.0039,0.0039,0.0039,0.6157,0.6039,0.4902,0.6118,0.0,2.3216,0.5333,6.5771,0.3294,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3190,111,72,0,13,70,68,0,13,0,13,0,13,8,13,0,13,6.5,4.1,0.0,1.0,1.9,1.7,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.3,0.0,1.0
10,Delaware,DE,10005,Sussex County,10005051008,Census Tract 510.08; Sussex County; Delaware,2.953075664268,4288,673,2856,280,1987,313,273,130,71,52,426,152,387,288,166,110,1932,435,382,164,922,328,0,18,0,52,760,856,379,168,487,177,0,18,165,98,3,4,6.4,2.9,4.0,3.3,21.4,6.9,10.1,7.0,3.9,2.5,45.1,8.3,8.9,3.9,21.6,6.6,0.0,0.9,0.0,1.2,17.7,19.8,13.2,5.7,17.1,5.9,0.0,0.9,8.3,4.7,0.1,0.1,0.1294,0.4078,0.4314,0.625,0.3922,1.9858,0.3451,0.9336,0.1016,0.9216,0.0,0.0,1.9568,0.2196,0.2344,0.2344,0.2344,0.7412,0.8549,0.0,0.8118,0.3906,2.7985,0.7333,6.9755,0.4,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3795,220,99,575,518,67,60,84,78,0,13,0,13,34,44,0,13,11.1,4.7,13.4,11.2,1.6,1.5,2.0,1.9,0.0,0.9,0.0,0.9,0.8,1.0,0.0,0.9
10,Delaware,DE,10005,Sussex County,10005051009,Census Tract 510.09; Sussex County; Delaware,4.83839281127,2477,381,2012,277,1197,203,93,103,79,96,181,132,37,41,139,124,990,297,279,124,367,140,0,18,0,52,188,585,319,159,27,31,0,18,0,13,0,13,3.8,4.1,7.3,8.5,15.1,10.7,1.8,1.9,5.6,4.7,40.0,10.7,11.3,4.8,14.8,5.4,0.0,1.5,0.0,2.1,7.6,23.6,15.9,7.6,1.3,1.6,0.0,1.5,0.0,3.1,0.0,0.5,0.0431,0.7373,0.1608,0.1133,0.5843,1.6388,0.2549,0.8984,0.1484,0.6275,0.0,0.0,1.6743,0.1137,0.0742,0.0742,0.0742,0.7804,0.5216,0.0,0.0,0.0,1.302,0.1216,4.6893,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3984,65,83,0,13,43,55,145,178,0,13,0,13,0,13,0,13,5.4,6.7,0.0,1.5,1.7,2.3,5.9,7.3,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5
10,Delaware,DE,10005,Sussex County,10005051010,Census Tract 510.10; Sussex County; Delaware,4.853610249396,3033,539,2033,245,1497,236,597,472,27,28,396,128,76,59,37,30,1340,292,516,382,353,102,56,64,5,49,233,760,77,80,58,62,2,13,38,62,1,3,19.7,15.2,2.4,2.5,26.5,7.5,3.0,2.4,1.2,1.0,44.2,8.6,17.0,10.5,11.6,3.7,3.8,4.2,0.2,1.7,7.7,25.0,3.7,3.9,2.9,3.2,0.1,0.9,2.5,4.0,0.0,0.1,0.6392,0.2078,0.6,0.2031,0.051,1.7011,0.2784,0.9219,0.3359,0.298,0.3922,0.2031,2.1511,0.3176,0.0781,0.0781,0.0781,0.4667,0.6,0.3373,0.349,0.0,1.753,0.2902,5.6833,0.2196,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3461,90,78,48,56,19,19,20,21,0,13,0,13,139,66,7,11,6.0,5.1,1.6,1.9,0.6,0.6,0.7,0.7,0.0,1.2,0.0,1.2,4.6,2.3,0.2,0.4
10,Delaware,DE,10005,Sussex County,10005051011,Census Tract 510.11; Sussex County; Delaware,3.004755416968,3691,341,2396,224,1853,214,595,217,51,27,333,102,48,32,150,82,1316,186,490,105,469,116,62,55,52,64,831,465,187,134,5,9,2,13,63,63,16,26,16.1,5.7,3.1,1.7,18.0,5.1,1.6,1.0,4.1,2.2,35.7,4.4,13.3,2.5,12.7,3.1,3.3,2.9,1.4,1.8,22.5,12.4,7.8,5.5,0.2,0.4,0.1,0.7,3.4,3.4,0.4,0.7,0.5176,0.2941,0.302,0.1055,0.4078,1.627,0.2431,0.8672,0.2031,0.3725,0.3333,0.5391,2.3152,0.4196,0.3164,0.3164,0.3164,0.6,0.4196,0.3373,0.4745,0.6992,2.5306,0.6314,6.7892,0.3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,37,23,213,111,133,73,247,132,12,17,0,13,219,127,7,12,2.0,1.2,5.8,3.0,3.6,2.0,6.7,3.4,0.3,0.5,0.0,1.0,5.9,3.3,0.2,0.3
10,Delaware,DE,10005,Sussex County,10005051012,Census Tract 510.12; Sussex County; Delaware,2.494667956626,2322,541,1665,255,1127,295,584,348,54,43,257,110,86,65,96,61,1109,369,243,190,449,159,45,42,0,52,206,768,0,18,401,166,0,18,19,24,0,13,25.2,13.8,6.1,4.7,22.8,7.7,4.6,3.5,4.1,2.9,47.8,10.1,10.5,7.0,19.3,6.1,4.0,3.6,0.0,2.2,8.9,33.0,0.0,1.1,24.1,10.3,0.0,1.6,1.7,2.1,0.0,0.6,0.7765,0.651,0.4706,0.3125,0.4078,2.6184,0.5137,0.9648,0.1289,0.8706,0.4157,0.0,2.38,0.4588,0.0938,0.0938,0.0938,0.0,0.9176,0.0,0.2314,0.0,1.149,0.0902,6.2412,0.2863,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,826,45,61,62,58,32,36,0,13,0,13,0,13,86,94,26,42,4.0,5.4,2.7,2.5,1.4,1.6,0.0,1.6,0.0,1.6,0.0,1.6,3.7,4.2,1.1,1.9
10,Delaware,DE,10005,Sussex County,10005051013,Census Tract 510.13; Sussex County; Delaware,8.257806332158,4117,450,1956,199,1705,176,400,152,191,176,284,52,180,89,116,68,1357,110,561,122,531,78,32,12,12,48,656,592,14,20,75,32,7,7,13,9,0,13,9.7,3.5,9.7,7.7,16.7,2.5,5.4,2.4,2.8,1.5,33.0,3.6,13.6,2.3,12.9,1.9,1.9,0.7,0.3,1.2,15.9,14.3,0.7,1.0,3.8,1.6,0.4,0.4,0.8,0.5,0.0,0.3,0.2863,0.9059,0.2235,0.3945,0.2667,2.0769,0.3765,0.8438,0.2148,0.4078,0.2039,0.25,1.9203,0.2039,0.207,0.207,0.207,0.298,0.6353,0.3725,0.1412,0.0,1.447,0.1686,5.6512,0.2157,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1515,88,32,109,39,202,122,109,71,22,21,0,13,206,98,8,9,5.2,1.9,2.6,1.0,4.9,2.7,2.6,1.7,0.5,0.5,0.0,0.9,5.0,2.3,0.2,0.2
10,Delaware,DE,10005,Sussex County,10005051014,Census Tract 510.14; Sussex County; Delaware,3.166305899196,2010,297,1342,139,1019,171,243,106,0,13,248,100,61,48,95,77,926,194,105,74,307,100,6,15,0,52,142,411,0,18,399,114,0,18,0,13,0,13,12.1,5.0,0.0,5.1,24.3,8.9,3.5,2.7,4.7,3.8,46.1,9.2,5.2,3.5,15.3,5.0,0.6,1.5,0.0,2.6,7.1,20.4,0.0,1.3,29.7,8.3,0.0,1.8,0.0,3.6,0.0,0.6,0.3725,0.0,0.5176,0.2227,0.4824,1.5952,0.2392,0.9453,0.0469,0.6627,0.0706,0.0,1.7255,0.1412,0.0586,0.0586,0.0586,0.0,0.949,0.0,0.0,0.0,0.949,0.0627,4.3283,0.0588,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,884,51,43,11,16,48,46,0,13,0,13,14,24,59,63,10,16,5.0,4.1,0.5,0.8,2.4,2.3,0.0,1.8,0.0,1.8,0.7,1.2,2.9,3.0,0.5,0.8
10,Delaware,DE,10005,Sussex County,10005051015,Census Tract 510.15; Sussex County; Delaware,4.109956561786,1956,373,1332,191,905,136,239,120,0,13,119,49,93,72,61,52,677,117,224,58,251,96,12,20,0,52,272,520,0,18,299,124,3,14,18,23,0,13,12.2,5.7,0.0,4.1,13.1,5.0,5.4,3.6,3.1,2.6,34.6,9.2,11.5,3.3,12.8,3.9,1.3,2.2,0.0,2.8,13.9,26.5,0.0,1.4,22.4,8.4,0.3,1.5,2.0,2.5,0.0,0.7,0.3765,0.0,0.0902,0.3945,0.2902,1.1514,0.1216,0.8594,0.1563,0.3922,0.1333,0.0,1.5412,0.0745,0.1641,0.1641,0.1641,0.0,0.898,0.3608,0.2824,0.0,1.5412,0.2157,4.3979,0.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,34,22,70,73,139,59,12,20,0,13,0,13,51,32,0,13,3.8,2.5,3.6,3.7,7.1,3.3,0.6,1.0,0.0,1.9,0.0,1.9,2.6,1.6,0.0,1.9
